ID,Distance,Value
251102,2,74%
251121,1,-9%
251145,2,-9%
251323,1,-4%
251734,1,26%
251737,1,-8%
251744,1,20%
251755,1,26%
251765,1,10%
252492,1,26%
252502,1,27%
252503,1,-3%
252510,1,-49%
252527,1,-25%
252799,2,-20%
252825,1,-62%
252834,1,10%
252945,1,42%
253235,1,-41%
253321,1,-8%
253322,1,-16%
253324,1,-24%
253325,1,-12%
253327,2,-25%
253328,1,-19%
253383,1,40%
253390,1,25%
253392,1,-2%
253393,2,-14%
253427,1,-28%
253436,1,-18%
253449,1,-14%
253453,1,-11%
253465,1,-15%
253492,1,-6%
253692,2,34%
253700,2,21%
253737,1,-4%
253745,1,-9%
253780,1,-4%
253782,1,-3%
253788,1,-27%
253796,2,-9%
253860,1,1%
253878,1,-59%
253888,2,-28%
253897,2,25%
253898,2,31%
253899,1,-16%
253906,1,-17%
253909,1,3%
253983,1,-64%
254000,1,-46%
254090,1,-53%
254468,1,-26%
254470,1,-34%
254484,1,-31%
254485,1,-3%
254487,1,-31%
254525,1,4%
254543,1,-12%
254552,1,-41%
254554,1,4%
254555,1,5%
254563,1,31%
254566,1,9%
254570,1,21%
254573,1,9%
254580,1,14%
254585,1,14%
254586,1,21%
254591,1,-3%
254787,1,-26%
255144,1,-22%
255240,1,-30%
255278,1,-29%
255298,1,-34%
255303,1,10%
255309,1,-1%
255323,1,-10%
255336,1,-23%
255339,2,-13%
255869,1,0%
255974,2,-1%
256060,1,10%
256122,1,-2%
256165,1,-2%
256173,1,5%
256235,1,-13%
256282,1,53%
256791,1,38%
256899,1,10%
257493,1,-47%
257559,1,14%
257602,1,21%
257615,1,-9%
257626,1,0%
257627,1,17%
257645,1,32%
257651,1,30%
257695,1,-3%
257705,1,-12%
257733,1,-26%
257752,1,4%
257769,1,-26%
257775,1,-7%
257844,1,22%
258388,2,-30%
258394,1,25%
258434,1,-5%
258451,1,-9%
258496,1,62%
258500,1,-39%
258753,1,-10%
259128,1,-14%
259218,1,-9%
259222,1,21%
259231,1,37%
259239,1,17%
259252,1,16%
259257,1,15%
259298,1,-2%
259305,1,-5%
259307,1,-41%
259310,1,49%
259316,1,-12%
259317,1,-6%
259330,1,-27%
259338,1,-2%
259341,1,-24%
259345,1,-2%
259359,1,0%
259368,1,-7%
259827,2,24%
259863,2,9%
259883,2,-21%
259885,1,-13%
259935,1,17%
259940,1,12%
259953,1,-25%
259954,1,18%
260517,2,-19%
260524,1,18%
260540,1,27%
260545,1,8%
260550,1,9%
260553,1,34%
260556,1,11%
260564,1,14%
260566,1,9%
260602,1,-2%
260619,1,-15%
260637,1,40%
260651,1,-3%
260655,1,8%
260657,1,-5%
261139,1,-30%
261183,1,-5%
261187,1,1%
261196,2,-7%
261226,1,55%
261850,1,-21%
261858,2,-15%
261861,1,11%
261872,1,2%
261878,1,14%
261889,2,-32%
261891,1,-2%
261892,1,18%
261894,1,15%
261895,1,-9%
261902,1,0%
261903,1,51%
261906,1,-5%
261909,1,11%
261910,1,34%
261911,1,21%
261912,1,-5%
261925,1,-9%
261928,1,23%
261933,1,-7%
261937,1,-12%
261951,1,-10%
261953,1,-10%
261970,1,56%
261974,1,-3%
261981,1,30%
262033,1,23%
262187,2,15%
262292,1,-3%
262332,1,-18%
262340,1,4%
262377,1,34%
262810,1,-19%
262819,1,-14%
262825,1,-21%
262849,1,20%
262854,1,23%
262857,1,1%
262865,1,17%
262867,1,3%
262875,1,18%
262878,1,10%
262879,2,-27%
262881,2,-11%
262885,1,14%
262889,1,26%
262893,1,15%
262894,1,39%
262896,1,16%
262903,2,-13%
262905,1,34%
262906,1,14%
262925,1,-1%
262934,1,-25%
262941,1,57%
262942,1,-23%
262947,1,-1%
263110,1,-9%
263111,1,-18%
263142,1,16%
263146,1,-26%
263148,1,16%
263159,1,32%
263163,1,2%
263166,1,40%
263172,1,6%
263177,1,20%
263187,1,15%
263188,1,42%
263193,1,36%
263212,1,34%
263213,1,11%
263214,1,-13%
263215,1,21%
263224,1,-8%
263232,1,-17%
263238,1,5%
263246,1,22%
263250,1,-25%
263252,1,-8%
263253,1,-11%
263267,1,1%
263289,1,13%
263338,1,1%
263536,2,52%
263591,2,-12%
263599,1,34%
263627,1,-51%
263633,1,-54%
263635,1,49%
263660,1,5%
263684,1,-40%
263724,1,-2%
263731,1,-32%
263735,1,-21%
263744,1,15%
264055,1,-13%
264069,1,11%
264077,1,5%
264564,1,-19%
264950,1,-3%
265059,2,-37%
265071,2,21%
265239,1,-40%
265600,1,-30%
265710,1,-36%
265724,1,-17%
265733,1,-9%
265777,1,-2%
265778,1,17%
265792,1,-1%
266639,2,-16%
266640,2,-16%
266649,2,-50%
266650,2,-50%
266707,2,-16%
266708,2,-16%
266787,2,-8%
266862,1,-41%
266873,1,-57%
266874,1,-57%
266918,1,87%
266921,2,78%
266941,2,19%
266978,1,-28%
266979,1,-28%
267318,1,-3%
267689,2,26%
268182,1,4%
