date,price
2017-05-22,7496.299805
2017-05-23,7485.299805
2017-05-24,7514.899902
2017-05-25,7517.700195
2017-05-26,7547.600098
2017-05-30,7526.5
2017-05-31,7520
2017-06-01,7543.799805
2017-06-02,7547.600098
2017-06-05,7525.799805
2017-06-06,7525
2017-06-07,7478.600098
2017-06-08,7450
2017-06-09,7527.299805
2017-06-12,7511.899902
2017-06-13,7500.399902
2017-06-14,7474.399902
2017-06-15,7419.399902
2017-06-16,7463.5
2017-06-19,7523.799805
2017-06-20,7472.700195
2017-06-21,7447.799805
2017-06-22,7439.299805
2017-06-23,7424.100098
2017-06-26,7446.799805
2017-06-27,7434.399902
2017-06-28,7387.799805
2017-06-29,7350.299805
2017-06-30,7312.700195
2017-07-03,7377.100098
2017-07-04,7357.200195
2017-07-05,7367.600098
2017-07-06,7337.299805
2017-07-07,7350.899902
2017-07-10,7370
2017-07-11,7329.799805
2017-07-12,7416.899902
2017-07-13,7413.399902
2017-07-14,7378.399902
2017-07-17,7404.100098
2017-07-18,7390.200195
2017-07-19,7430.899902
2017-07-20,7487.899902
2017-07-21,7452.899902
2017-07-24,7377.700195
2017-07-25,7434.799805
2017-07-26,7452.299805
2017-07-27,7443
2017-07-28,7368.399902
2017-07-31,7372
2017-08-01,7423.700195
2017-08-02,7411.399902
2017-08-03,7474.799805
2017-08-04,7511.700195
2017-08-07,7531.899902
2017-08-08,7542.700195
2017-08-09,7498.100098
2017-08-10,7389.899902
2017-08-11,7310
2017-08-14,7353.899902
2017-08-15,7383.899902
2017-08-16,7433
2017-08-17,7387.899902
2017-08-18,7324
2017-08-21,7318.899902
2017-08-22,7381.700195
2017-08-23,7382.700195
2017-08-24,7407.100098
2017-08-25,7401.5
2017-08-29,7337.399902
2017-08-30,7365.299805
2017-08-31,7430.600098
2017-09-01,7438.5
2017-09-04,7411.5
2017-09-05,7372.899902
2017-09-06,7354.100098
2017-09-07,7397
2017-09-08,7377.600098
