date,price
2011-12-19,5512.700195
2011-12-26,5572.299805
2012-01-02,5649.700195
2012-01-09,5636.600098
2012-01-16,5728.600098
2012-01-23,5733.5
2012-01-30,5901.100098
2012-02-06,5852.399902
2012-02-13,5905.100098
2012-02-20,5935.100098
2012-02-27,5911.100098
2012-03-05,5887.5
2012-03-12,5965.600098
2012-03-19,5854.899902
2012-03-25,5768.5
2012-04-01,5723.700195
2012-04-08,5651.799805
2012-04-15,5772.200195
2012-04-22,5777.100098
2012-04-29,5655.100098
2012-05-06,5575.5
2012-05-13,5267.600098
2012-05-20,5351.5
2012-05-27,5260.200195
2012-06-03,5435.100098
2012-06-10,5478.799805
2012-06-17,5513.700195
2012-06-24,5571.200195
2012-07-01,5662.600098
2012-07-08,5666.100098
2012-07-15,5651.799805
2012-07-22,5627.200195
2012-07-29,5787.299805
2012-08-05,5847.100098
2012-08-12,5852.399902
2012-08-19,5776.600098
2012-08-26,5711.5
2012-09-02,5794.799805
2012-09-09,5915.600098
2012-09-16,5852.600098
2012-09-23,5742.100098
2012-09-30,5871
2012-10-07,5793.299805
2012-10-14,5896.200195
2012-10-21,5806.700195
2012-10-29,5868.600098
2012-11-05,5769.700195
2012-11-12,5605.600098
2012-11-19,5819.100098
2012-11-26,5866.799805
2012-12-03,5914.399902
2012-12-10,5921.799805
2012-12-17,5940
2012-12-24,5925.399902
2012-12-31,6089.799805
2013-01-07,6121.600098
2013-01-14,6154.399902
2013-01-21,6284.5
2013-01-28,6347.200195
2013-02-04,6263.899902
2013-02-11,6328.299805
2013-02-18,6335.700195
2013-02-25,6378.600098
2013-03-04,6483.600098
2013-03-11,6489.700195
2013-03-18,6392.799805
2013-03-25,6411.700195
2013-03-31,6249.799805
2013-04-07,6384.399902
2013-04-14,6286.600098
2013-04-21,6426.399902
2013-04-28,6521.5
2013-05-05,6625
2013-05-12,6723.100098
2013-05-19,6654.299805
2013-05-26,6583.100098
2013-06-02,6412
2013-06-09,6308.299805
2013-06-16,6116.200195
2013-06-23,6215.5
2013-06-30,6375.5
2013-07-07,6544.899902
2013-07-14,6630.700195
2013-07-21,6554.799805
2013-07-28,6647.899902
2013-08-04,6583.399902
2013-08-11,6500
2013-08-18,6492.100098
2013-08-25,6412.899902
2013-09-01,6547.299805
2013-09-08,6583.799805
2013-09-15,6596.399902
2013-09-22,6512.700195
2013-09-29,6453.899902
2013-10-06,6487.200195
2013-10-13,6622.600098
2013-10-20,6721.299805
2013-10-28,6734.700195
2013-11-04,6708.399902
2013-11-11,6693.399902
2013-11-18,6674.299805
2013-11-25,6650.600098
2013-12-02,6552
2013-12-09,6440
2013-12-16,6606.600098
2013-12-23,6750.899902
2013-12-30,6730.700195
2014-01-06,6739.899902
2014-01-13,6829.299805
2014-01-20,6663.700195
2014-01-27,6510.399902
2014-02-03,6571.700195
2014-02-10,6663.600098
2014-02-17,6838.100098
2014-02-24,6809.700195
2014-03-03,6712.700195
2014-03-10,6527.899902
2014-03-17,6557.200195
2014-03-24,6615.600098
2014-03-30,6695.600098
2014-04-06,6561.700195
2014-04-13,6625.299805
2014-04-20,6685.700195
2014-04-27,6822.399902
2014-05-04,6814.600098
2014-05-11,6855.799805
2014-05-18,6815.799805
2014-05-25,6844.5
2014-06-01,6858.200195
2014-06-08,6777.899902
2014-06-15,6825.200195
2014-06-22,6757.799805
2014-06-29,6866.100098
2014-07-06,6690.200195
2014-07-13,6749.5
2014-07-20,6791.600098
2014-07-27,6679.200195
2014-08-03,6567.399902
2014-08-10,6689.100098
2014-08-17,6775.299805
2014-08-24,6819.799805
2014-08-31,6855.100098
2014-09-07,6807
2014-09-14,6837.899902
2014-09-21,6649.399902
2014-09-28,6527.899902
2014-10-05,6340
2014-10-12,6310.299805
2014-10-19,6388.700195
2014-10-27,6546.5
2014-11-03,6567.200195
2014-11-10,6654.399902
2014-11-17,6750.799805
2014-11-24,6722.600098
2014-12-01,6742.799805
2014-12-08,6300.600098
2014-12-15,6545.299805
2014-12-22,6609.899902
2014-12-29,6547.799805
2015-01-05,6501.100098
2015-01-12,6550.299805
2015-01-19,6832.799805
2015-01-26,6749.399902
2015-02-02,6853.399902
2015-02-09,6873.5
2015-02-16,6915.200195
2015-02-23,6946.700195
2015-03-02,6911.799805
2015-03-09,6740.600098
2015-03-16,7022.5
2015-03-23,6855
2015-03-29,6833.5
2015-04-05,7089.799805
2015-04-12,6994.600098
2015-04-19,7070.700195
2015-04-26,6986
2015-05-03,7046.799805
2015-05-10,6960.5
2015-05-17,7031.700195
2015-05-24,6984.399902
2015-05-31,6804.600098
2015-06-07,6784.899902
2015-06-14,6710.5
2015-06-21,6753.700195
2015-06-28,6585.799805
2015-07-05,6673.399902
2015-07-12,6775.100098
2015-07-19,6579.799805
2015-07-26,6696.299805
2015-08-02,6718.5
2015-08-09,6550.700195
2015-08-16,6187.700195
2015-08-23,6247.899902
2015-08-30,6042.899902
2015-09-06,6117.799805
2015-09-13,6104.100098
2015-09-20,6109
2015-09-27,6130
2015-10-04,6416.200195
2015-10-11,6378
2015-10-18,6444.100098
2015-10-26,6361.100098
2015-11-02,6353.799805
2015-11-09,6118.299805
2015-11-16,6334.600098
2015-11-23,6375.200195
2015-11-30,6238.299805
2015-12-07,5952.799805
2015-12-14,6052.399902
2015-12-21,6254.600098
2015-12-28,6242.299805
2016-01-04,5912.399902
2016-01-11,5804.100098
2016-01-18,5900
2016-01-25,6083.799805
2016-02-01,5848.100098
2016-02-08,5707.600098
2016-02-15,5950.200195
2016-02-22,6096
2016-02-29,6199.399902
2016-03-07,6139.799805
2016-03-14,6189.600098
2016-03-21,6106.5
2016-03-27,6146.100098
2016-04-03,6204.399902
2016-04-10,6343.799805
2016-04-17,6310.399902
2016-04-24,6241.899902
2016-05-01,6125.700195
2016-05-08,6138.5
2016-05-15,6156.299805
2016-05-22,6270.799805
2016-05-29,6209.600098
2016-06-05,6115.799805
2016-06-12,6021.100098
2016-06-19,6138.700195
2016-06-26,6577.799805
2016-07-03,6590.600098
2016-07-10,6669.200195
2016-07-17,6730.5
2016-07-24,6724.399902
2016-07-31,6793.5
2016-08-07,6916
2016-08-14,6859
2016-08-21,6838.100098
2016-08-28,6894.600098
2016-09-04,6777
2016-09-11,6710.299805
2016-09-18,6909.399902
2016-09-25,6899.299805
2016-10-02,7044.399902
2016-10-09,7013.600098
2016-10-16,7020.5
2016-10-23,6996.299805
2016-10-31,6693.299805
2016-11-07,6730.399902
2016-11-14,6775.799805
2016-11-21,6840.799805
2016-11-28,6730.700195
2016-12-05,6954.200195
2016-12-12,7011.600098
2016-12-19,7068.200195
2016-12-26,7142.799805
2017-01-02,7210.100098
2017-01-09,7337.799805
2017-01-16,7198.399902
2017-01-23,7184.5
2017-01-30,7188.299805
2017-02-06,7258.799805
2017-02-13,7300
2017-02-20,7243.700195
2017-02-27,7374.299805
2017-03-06,7343.100098
2017-03-13,7425
2017-03-20,7336.799805
2017-03-26,7322.899902
2017-04-02,7349.399902
2017-04-09,7327.600098
2017-04-16,7114.600098
2017-04-23,7203.899902
2017-04-30,7297.399902
2017-05-07,7435.399902
2017-05-14,7470.700195
2017-05-21,7547.600098
2017-05-28,7547.600098
2017-06-04,7527.299805
2017-06-11,7463.5
2017-06-18,7424.100098
2017-06-25,7312.700195
2017-07-02,7350.899902
2017-07-09,7378.399902
2017-07-16,7452.899902
2017-07-23,7368.399902
2017-07-30,7511.700195
2017-08-06,7310
2017-08-13,7324
2017-08-20,7401.5
2017-08-27,7438.5
2017-09-03,7377.600098
2017-09-08,7377.600098
