dt,price
30/05/2016 17:15,549.8934832
30/05/2016 17:30,552.0212273
30/05/2016 17:45,552.8600891
30/05/2016 18:00,549.8054227
30/05/2016 18:15,546.3426347
30/05/2016 18:30,547.60672
30/05/2016 18:45,550.5353637
30/05/2016 19:00,553.2863966
30/05/2016 19:15,553.1217521
30/05/2016 19:30,550.4687461
30/05/2016 19:45,547.0925256
30/05/2016 20:00,546.301695
30/05/2016 20:15,547.6573104
30/05/2016 20:30,544.5921177
30/05/2016 20:45,543.9434068
30/05/2016 21:00,541.0384972
30/05/2016 21:15,538.1421637
30/05/2016 21:30,536.9005986
30/05/2016 21:45,534.7886518
30/05/2016 22:00,535.0202763
30/05/2016 22:15,532.2809759
30/05/2016 22:30,528.0531663
30/05/2016 22:45,526.3701666
30/05/2016 23:00,526.5788652
30/05/2016 23:15,528.2669507
30/05/2016 23:30,527.1251248
30/05/2016 23:45,527.6744231
31/05/2016 00:00,529.9578297
31/05/2016 00:15,525.098693
31/05/2016 00:30,521.7736734
31/05/2016 00:45,524.4043804
31/05/2016 01:00,527.0927773
31/05/2016 01:15,528.8743209
31/05/2016 01:30,527.2106303
31/05/2016 01:45,525.8356119
31/05/2016 02:00,524.993027
31/05/2016 02:15,525.138921
31/05/2016 02:30,523.7436488
31/05/2016 02:45,525.8006303
31/05/2016 03:00,529.2518516
31/05/2016 03:15,528.4364819
31/05/2016 03:30,530.3766922
31/05/2016 03:45,531.4836497
31/05/2016 04:00,535.0405551
31/05/2016 04:15,532.422054
31/05/2016 04:30,535.5472296
31/05/2016 04:45,536.8424257
31/05/2016 05:00,535.6866766
31/05/2016 05:15,535.177933
31/05/2016 05:30,531.8587348
31/05/2016 05:45,534.5500416
31/05/2016 06:00,536.7487642
31/05/2016 06:15,534.5047597
31/05/2016 06:30,537.7434472
31/05/2016 06:45,536.2103297
31/05/2016 07:00,534.3003777
31/05/2016 07:15,537.2720731
31/05/2016 07:30,536.4135723
31/05/2016 07:45,533.7651508
31/05/2016 08:00,537.4191071
31/05/2016 08:15,537.808962
31/05/2016 08:30,535.7542768
31/05/2016 08:45,532.9270735
31/05/2016 09:00,536.4425885
31/05/2016 09:15,532.7507978
31/05/2016 09:30,532.5963515
31/05/2016 09:45,533.039164
31/05/2016 10:00,531.4206721
31/05/2016 10:15,531.5716131
31/05/2016 10:30,532.2914666
31/05/2016 10:45,530.9618008
31/05/2016 11:00,531.3485077
31/05/2016 11:15,530.9806809
31/05/2016 11:30,527.9485916
31/05/2016 11:45,527.6692165
31/05/2016 12:00,526.6906502
31/05/2016 12:15,524.344453
31/05/2016 12:30,526.2037258
31/05/2016 12:45,525.037854
31/05/2016 13:00,522.4634028
31/05/2016 13:15,521.0588879
31/05/2016 13:30,517.6757116
31/05/2016 13:45,516.6201641
31/05/2016 14:00,515.969519
31/05/2016 14:15,513.904086
31/05/2016 14:30,514.0692942
31/05/2016 14:45,512.5225675
31/05/2016 15:00,510.8977313
31/05/2016 15:15,512.2503649
31/05/2016 15:30,512.5022097
31/05/2016 15:45,514.5306554
31/05/2016 16:00,513.7919976
31/05/2016 16:15,513.0118415
31/05/2016 16:30,513.4901886
31/05/2016 16:45,511.3693831
31/05/2016 17:00,512.4725371
31/05/2016 17:15,507.8084046
31/05/2016 17:30,510.8952002
31/05/2016 17:45,510.7606956
31/05/2016 18:00,514.1781921
31/05/2016 18:15,512.9852145
31/05/2016 18:30,512.4264463
31/05/2016 18:45,512.0923973
31/05/2016 19:00,513.2666606
31/05/2016 19:15,510.9043901
31/05/2016 19:30,513.7661189
31/05/2016 19:45,510.3100905
31/05/2016 20:00,510.5742457
31/05/2016 20:15,512.5068497
31/05/2016 20:30,516.0893132
31/05/2016 20:45,513.4419914
31/05/2016 21:00,512.1981996
31/05/2016 21:15,511.6079079
31/05/2016 21:30,515.2135677
31/05/2016 21:45,513.0531418
31/05/2016 22:00,516.6751815
31/05/2016 22:15,517.6381912
31/05/2016 22:30,516.081836
31/05/2016 22:45,517.5857142
31/05/2016 23:00,516.7094712
31/05/2016 23:15,519.2442451
31/05/2016 23:30,519.5219463
31/05/2016 23:45,521.9278797
01/06/2016 00:00,523.6351892
