Source,Target,Group Source,Group Target
ATLANTIC NAVIGATION HOLDINGS INC.,PPACIFIC INTERNATIONAL OFFSHORE INC.,BVIATLANTICN,BVIPACIFICI
ATLANTIC NAVIGATION HOLDINGS INC.,,BVIATLANTICN,
ATLANTIC NAVIGATION LIMITED,,BVIATLANTICNAV,
ATLANTIC OCEANA INC.,,BVIATLANTICO,
ATLANTIC OFFSHORE INC,,BVIATLANTICOF,
ATLANTIC OFFSHORE SERVICES INC.,,BVIATLANTICOFF,
ATLANTIC OILFIELD SERVICES EUROPE B.V.,,34242873,
ATLANTIC ONSHORE SERVICES B.V.,,34282596,
ATLANTIC ROTTERDAM LIMITED,,38033,
Atlantic Ship Management LLC,,UAEATLANTICS,
ATNAV HOLDINGS INC.,ATNAV INC.,BVIATNAVH,BVIATNAVINC
ATNAV HOLDINGS INC.,ATNAV INTERNATIONAL INC.,BVIATNAVH,BVIATNAVI
ATNAV HOLDINGS INC.,ATNAV MARINE INC.,BVIATNAVH,BVIATNAVMARINE
ATNAV HOLDINGS INC.,ATNAV MARITIME INC.,BVIATNAVH,BVIATNAVM
ATNAV HOLDINGS INC.,ATNAV NAUTICAL INC.,BVIATNAVH,BVIATNAVN
ATNAV HOLDINGS INC.,ATNAV OCEANIC INC.,BVIATNAVH,BVIATNAVO
ATNAV HOLDINGS INC.,ATNAV OFFSHORE INC.,BVIATNAVH,BVIATNAVOFF
ATNAV HOLDINGS INC.,,BVIATNAVH,
ATNAV INC.,,BVIATNAVINC,
ATNAV INTERNATIONAL INC.,,BVIATNAVI,
ATNAV MARINE INC.,,BVIATNAVMARINE,
ATNAV MARITIME INC.,,BVIATNAVM,
ATNAV NAUTICAL INC.,,BVIATNAVN,
ATNAV OCEANIC INC.,,BVIATNAVO,
ATNAV OFFSHORE INC.,,BVIATNAVOFF,
AWANA RENTAK SDN. BHD.,SUPERIOR CARBONTECH AND SOLUTIONS SDN. BHD.,679216-A,1161633-D
AWANA RENTAK SDN. BHD.,,679216-A,
B & B ENTERPRISE SDN. BHD.,,67761-A,
BAYU UNTUNG SDN. BHD.,,1027934-A,
BERJAYA MEDIA BERHAD,,290601-T,
BERJAYA RESOURCE HOLDINGS SDN. BHD.,,001805506-V,
BERJAYA VTCY SDN. BHD.,,26929-U,
BEVERIAN HOLDINGS PTE LTD,LUM CHANG HOLDINGS LIMITED,199306719E,198203949N
BEVERIAN HOLDINGS PTE LTD,,199306719E,
Bimar Offshore Inc,,BVIBIMAROFF,
BIOLIDICS LIMITED.,,200913076M,
BN123 FOOD HOUSE PTE. LTD.,,201219700W,
BNP PARIBAS NOMINEES SINGAPORE PTE. LTD.,KEPPEL DC REIT MANAGEMENT PTE. LTD.,197800433K,199508930C
BNP PARIBAS SECURITIES SERVICES,KEPPEL DC REIT MANAGEMENT PTE. LTD.,T08FC7287D,199508930C
BOON LAY 221 FOOD HOUSE PTE. LTD.,,200817276D,
BPSS NOMINEES SINGAPORE (PTE.) LTD.,NO SIGNBOARD HOLDINGS LTD.,201724910N,201715253N
BSNC CORPORATION BERHAD,,23877-T,
BUKIT BATOK 150 FOOD HOUSE PTE. LTD.,,201223442G,
BUSY BEES ASIA PTE. LTD.,,201432726W,
BUSY BEES HOLDINGS PTE. LTD.,BUSY BEES ASIA PTE. LTD.,201431275C,201432726W
BV HEALTHCARE II PTE. LTD.,BIOLIDICS LIMITED.,201009484N,200913076M
CAPITAL STRIDE LTD,,08896886,
CARDIFF CITY FOOTBALL CLUB,,00109065,
CAUSEWAY FOOD HOUSE PTE. LTD.,,200601864M,
"CDP KIMLY PTE. LTD.	",,201621444K,
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,CNMC GOLDMINE HOLDINGS LIMITED,198701621D,201119104K
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,INNOPAC HOLDINGS LIMITED,198701621D,197301788K
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,JUMBO GROUP LIMITED,198701621D,201503401Z
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,KATRINA GROUP LTD.,198701621D,201608344N
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,KEPPEL DC REIT MANAGEMENT PTE. LTD.,198701621D,199508930C
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,KS ENERGY LIMITED,198701621D,198300104G
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,NO SIGNBOARD HOLDINGS LTD.,198701621D,201715253N
CHAI CHEE 29 FOOD HOUSE PTE. LTD.,,200818303M,
CHAI HWEE HOON DOREEN,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SG958H,200411055E
CHANG LING SEOW,CLEARBRIDGE HEALTH LIMITED,SG168Z,201001436C
CHAO YANG SEAFOOD,,53234884B,
CHATTERJEE BRATADEV,LUCROR PROPERTY PTE. LTD.,SG4882,201623848E
CHEN CHUNG NI @JOHNNY CHEN,CLEARBRIDGE HEALTH LIMITED,SG643I,201001436C
CHEW BOON THONG,CAPITAL STRIDE LTD,SG390B,08896886
CHEW BOON THONG,IC INTERIOR CARPENTRY,SG390B,53320010E
CHEW BOON THONG,INTERIOR CARPENTRY PTE. LTD.,SG390B,201431904D
CHEW BOON THONG,LUCROR PROPERTY PTE. LTD.,SG390B,201623848E
CHEW BOON THONG,MIG NETWORK INTERNATIONAL PTE. LTD.,SG390B,201506032Z
CHEW BOON THONG,PARAGON ASSETS PTE. LTD.,SG390B,201417735E
CHEW BOON THONG,QQ PET BOARDING,SG390B,53214995E
CHEW BOON THONG,SCCI HOLDINGS PTE. LTD.,SG390B,201833314R
CHEW BOON THONG,SHINY HAND CAR WASH LIMITED,SG390B,09347931
CHEW BOON THONG,"SINGAPORE CHAMBER OF BUSINESS	",SG390B,53387969L
CHEW BOON THONG,SINGAPORE FACEBOOK NETWORK,SG390B,53386976E
CHEW BOON THONG,SINGAPORE PROPERTY NETWORK,SG390B,53385070C
CHEW BOON THONG,STORE TO BUY,SG390B,53132469M
CHEW BOON THONG,STRIDE GROUP LLP,SG390B,T14LL0186D
CHEW BOON THONG,WEALTH INVEST PTE. LTD.,SG390B,201431997K
CHEW BOON THONG,WHATSAPP NETWORK,SG390B,53387520W
CHIA CHER KHIANG,FOODCLIQUE (CAPEVIEW) PTE. LTD.,SG955A,201539150C
CHIA CHER KHIANG,FOODCLIQUE PTE. LTD.,SG955A,201021185G
CHIA CHER KHIANG,GLEVIN INVESTMENT PTE. LTD.,SG955A,201216804G
CHIA CHER KHIANG,KIMLY FOOD MANUFACTURING PTE. LTD.,SG955A,200813389W
CHIA CHER KHIANG,KIMLY LIMITED,SG955A,201613903R
CHIA KAY WEE ERIC,ADVOCADO LABS PRIVATE LIMITED,SG055F,201524111C
CHIA KAY WEE ERIC,ADVOCADO PTE. LTD.,SG055F,201613142Z
CHIA KAY WEE ERIC,ALLEGRO ASIA HOLDINGS PTE LTD,SG055F,SG199903669G
CHIA KAY WEE ERIC,ECLIPSE INFOTECH,SG055F,SG52998064M
CHIA KAY WEE ERIC,LAUNCHSTARS PTE. LTD.,SG055F,201300226N
CHIA KAY WEE ERIC,LNF PRODUCTIONS,SG055F,SG53008611E
CHIA KAY WEE ERIC,NEW DRAGON TRADING,SG055F,SG52987323X
CHIA KAY WEE ERIC,PINK FLUX LLP,SG055F,SGT09LL1926C
CHIA KAY WEE ERIC,QUAFFS PTE. LTD.,SG055F,200700213W
CHIA KAY WEE ERIC,TRINITY CORPORATE RECOVERY PTE. LTD.,SG055F,200409065K
CHIA KAY WEE ERIC,VIRTUAL LIFE,SG055F,SG52891815W
CHIA KAY WEE ERIC,WELCOMEFIVE,SG055F,SG53195326B
