Source,Target,Group Source,Group Target
KEN SEE,EU HOLIDAYS PTE. LTD.,SG263B,201022285W
KENYON PTE. LTD.,BIOLIDICS LIMITED.,198804457K,200913076M
KEPPEL DC INVESTMENT HOLDINGS PTE. LTD.,KEPPEL DC REIT MANAGEMENT PTE. LTD.,199005264N,199508930C
KEPPEL DC REIT MANAGEMENT PTE LTD ,KEPPEL DC REIT MANAGEMENT PTE. LTD.,199508930C,199508930C
KIM BOON TAI EATING HOUSE PTE LTD,,200107738D,
"KIMLY DIM SUM EAST PTE. LTD.	",,201621811W,
KIMLY DIM SUM PTE. LTD.,"KIMLY DIM SUM EAST PTE. LTD.	",201621096W,201621811W
KIMLY DIM SUM PTE. LTD.,"KIMLY DIM SUM WEST PTE. LTD.	",201621096W,201621449E
KIMLY DIM SUM PTE. LTD.,"KIMLY FOOD MANUFACTURING PTE. LTD.	",201621096W,200813389W
"KIMLY DIM SUM WEST PTE. LTD.	",,201621449E,
KIMLY FOOD HOLDINGS PTE. LTD.,"KIMLY MAKAN PLACE PTE. LTD.	",201613903R,201621028K
KIMLY FOOD HOLDINGS PTE. LTD.,"KIMLY MVR PTE. LTD.	",201613903R,201621034Z
KIMLY FOOD HOLDINGS PTE. LTD.,KIMLY SEAFOOD PTE. LTD.,201613903R,201621091D
KIMLY FOOD MANUFACTURING PTE. LTD.,,200813389W,
KIMLY FOOD PRODUCTS PTE. LTD.,,201423563E,
KIMLY LIMITED,"233 YISHUN KOPI POINT PTE. LTD.	",201613903R,201605761R
KIMLY LIMITED,CHODEE FOOD HOLDINGS PTE. LTD.,201613903R,200813391D
KIMLY LIMITED,KIMLY FOOD HOLDINGS PTE. LTD.,201613903R,200414013C
KIMLY LIMITED,LHL GROUP PTE. LTD.,201613903R,200414016N
"KIMLY MAKAN PLACE PTE. LTD.	",147 SERANGOON FOOD HOUSE PTE. LTD.,201621028K,200607484W
"KIMLY MAKAN PLACE PTE. LTD.	","881 HOUGANG FOOD HOUSE PTE. LTD.	",201621028K,200611948D
"KIMLY MAKAN PLACE PTE. LTD.	","BN123 FOOD HOUSE PTE. LTD.	",201621028K,201219700W
"KIMLY MAKAN PLACE PTE. LTD.	","CDP KIMLY PTE. LTD.	",201621028K,201621444K
"KIMLY MAKAN PLACE PTE. LTD.	","CHAI CHEE 29 FOOD HOUSE PTE. LTD.	",201621028K,200818303M
"KIMLY MAKAN PLACE PTE. LTD.	","CHOH DEE PLACE (163A) PTE. LTD.	",201621028K,200718039H
"KIMLY MAKAN PLACE PTE. LTD.	","CHOH DEE PLACE (346A) PTE. LTD.	",201621028K,200717998H
"KIMLY MAKAN PLACE PTE. LTD.	","FOODCLIQUE (CAPEVIEW) PTE. LTD.	",201621028K,201539150C
"KIMLY MAKAN PLACE PTE. LTD.	",FOODCLIQUE PTE. LTD.,201621028K,201021185G
"KIMLY MAKAN PLACE PTE. LTD.	","GOURMET EXPRESS FOOD HOUSE PTE. LTD.	",201621028K,200613753E
"KIMLY MAKAN PLACE PTE. LTD.	",JIN WEI FOOD HOLDINGS PTE. LTD.,201621028K,200601864M
"KIMLY MAKAN PLACE PTE. LTD.	","JURONG WEST 651 FOOD HOUSE PTE. LTD.	",201621028K,200718005G
"KIMLY MAKAN PLACE PTE. LTD.	",PARK (E) CRESCENT FOOD HOUSE PTE. LTD.,201621028K,200510615H
"KIMLY MAKAN PLACE PTE. LTD.	",PARK RESERVOIR FOOD HOUSE PTE. LTD.,201621028K,200503180C
"KIMLY MAKAN PLACE PTE. LTD.	",PP146 FOOD HOUSE PTE. LTD.,201621028K,200718012G
"KIMLY MAKAN PLACE PTE. LTD.	",SENGKANG 266 FOOD HOUSE PTE. LTD.,201621028K,201107445E
"KIMLY MAKAN PLACE PTE. LTD.	",TAMPINES WEST FOOD COURT PTE. LTD.,201621028K,201406363H
"KIMLY MAKAN PLACE PTE. LTD.	","YONG YUN PTE. LTD.	",201621028K,201621813Z
"KIMLY MAKAN PLACE PTE. LTD.	",,201621028K,
KIMLY MVR CENTRAL PTE. LTD.,,201621802R,
KIMLY MVR EAST PTE. LTD.,,201621452C,
"KIMLY MVR PTE. LTD.	",KIMLY FOOD PRODUCTS PTE. LTD.,201621034Z,201423563E
"KIMLY MVR PTE. LTD.	",KIMLY MVR CENTRAL PTE. LTD.,201621034Z,201621802R
"KIMLY MVR PTE. LTD.	",KIMLY MVR EAST PTE. LTD.,201621034Z,201621452C
"KIMLY MVR PTE. LTD.	",KIMLY MVR WEST PTE. LTD.,201621034Z,201621456E
KIMLY MVR WEST PTE. LTD.,,201621456E,
"KIMLY SEAFOOD CENTRAL PTE. LTD.	",,201621460M,
"KIMLY SEAFOOD EAST PTE. LTD.	",,201621466W,
KIMLY SEAFOOD PTE. LTD.,"KIMLY SEAFOOD CENTRAL PTE. LTD.	",201621091D,201621460M
KIMLY SEAFOOD PTE. LTD.,"KIMLY SEAFOOD EAST PTE. LTD.	",201621091D,201621466W
KIMLY SEAFOOD PTE. LTD.,"KIMLY SEAFOOD WEST PTE. LTD.	",201621091D,201621468Z
KIMLY SEAFOOD PTE. LTD.,,201621091D,
"KIMLY SEAFOOD WEST PTE. LTD.	",,201621468Z,
KOH AH SAY @ SEE BOON CHYE,JUMBO GROUP LIMITED,SG525G,201503401Z
KOH HOCK SENG,EXCELTEC PROPERTY MANAGEMENT PTE LTD,SG151I,199708207E
KOH PECK CHONG (XU BOCONG),KIMLY LIMITED,SG364H,201613903R
KONINKLIJKE VOETBALCLUB KORTRIJK,,KVKORT,
KOPI SUCCESS PTE LTD,,200101964H,
KOPITIAM INVESTMENT PTE. LTD.,,199302777N,
KS DISCOVERY (HK) LIMITED,KS DRILLING EGYPT INC.,1182645,EGKSDRILL
KS DISCOVERY (HK) LIMITED,QIM VENTURES LIMITED,1182645,HE222215
KS DISCOVERY (HK) LIMITED,,1182645,
KS DRILLING ARABIA,,SAUKSDRILL,
KS DRILLING EGYPT INC.,,EGKSDRILL,
KS DRILLING EMEA LIMITED,ATLANTIC OILFIELD SERVICES EUROPE B.V.,HE173250,34242873
KS DRILLING EMEA LIMITED,ATLANTIC ONSHORE SERVICES B.V.,HE173250,34282596
KS DRILLING OPERATING COMPANY LTD,,VN3502251926,
KS DRILLING PTE. LTD.,DISCOVERER 1 PTE. LTD.,200920855C,200723513G
KS DRILLING PTE. LTD.,DISCOVERER 2 PTE. LTD.,200920855C,200708591M
KS DRILLING PTE. LTD.,DISCOVERER 3 PTE. LTD.,200920855C,DISCOVER3
KS DRILLING PTE. LTD.,DISCOVERER 4 PTE. LTD.,200920855C,200700221H
KS DRILLING PTE. LTD.,KS DISCOVERY (HK) LIMITED,200920855C,1182645
KS DRILLING PTE. LTD.,KSAM2 PETRODILL OFFSHORE INC.,200920855C,BVIKSAM2
KS ENERGY LIMITED,KS DRILLING ARABIA,198300104G,SAUKSDRILL
KS ENERGY LIMITED,KS DRILLING EMEA LIMITED,198300104G,HE173250
KS ENERGY LIMITED,KS DRILLING OPERATING COMPANY LTD,198300104G,VN3502251926
KS ENERGY LIMITED,KS DRILLING PTE. LTD.,198300104G,200920855C
KS ENERGY LIMITED,KS FABRICATION AND ENGINEERING PTE. LTD.,198300104G,199401121E
KS ENERGY LIMITED,KS RESOURCES PTE. LTD.,198300104G,200819107D
KS ENERGY LIMITED,KS RIG INVEST PTE LTD,198300104G,201333002Z
KS ENERGY LIMITED,PT ATLANTIC OILFIELD SERVICES,198300104G,INDPTATLAN
KS ENERGY LIMITED,PT PETRO PAPUA ENERGI,198300104G,INDPTPETRO
KS ENERGY LIMITED,S&E CUMFORD (THAILAND) LTD,198300104G,105495000781
KS ENERGY LIMITED,SPHINX FRONTIER LTD.,198300104G,BVISFRONTIER
KS FABRICATION AND ENGINEERING PTE. LTD.,GLOBALTECH SYSTEMS ENGINEERING PTE. LTD.,199401121E,200105112M
KS FABRICATION AND ENGINEERING PTE. LTD.,,199401121E,
KS INVESTOR CORPORATION,,KSINVESTCORP,
KS RESOURCES PTE. LTD.,,200819107D,
KS RIG INVEST FIVE PTE. LTD.,,KSRIGIN5,
KS RIG INVEST ONE PTE. LTD.,,201333581D,
KS RIG INVEST PTE LTD,KS RIG INVEST FIVE PTE. LTD.,201333002Z,KSRIGIN5
KS RIG INVEST PTE LTD,KS RIG INVEST ONE PTE. LTD.,201333002Z,201333581D
KS RIG INVEST PTE LTD,KS RIG INVEST SIX PTE. LTD.,201333002Z,KSRIGIN6
KS RIG INVEST PTE LTD,KS RIG INVEST THREE PTE. LTD.,201333002Z,KSRIGIN3
KS RIG INVEST PTE LTD,KS RIG INVEST TWO PTE. LTD.,201333002Z,201333590E
KS RIG INVEST SIX PTE. LTD.,KS INVESTOR CORPORATION,KSRIGINVEST,KSINVESTCORP
KS RIG INVEST THREE PTE. LTD.,,KSRIGIN3,
KS RIG INVEST TWO PTE. LTD.,,201333590E,
KSAM2 PETRODILL OFFSHORE INC.,,BVIKSAM2,
KUOK MENG XIONG,NO SIGNBOARD HOLDINGS LTD.,SG571F,201715253N
LAM CHOON SEN DAVID @ LAM KWOK KWONG,NO SIGNBOARD HOLDINGS LTD.,SG917J,201715253N
LAUNCHSTARS PTE. LTD.,,201300226N,
LEE HUA HOON,JUMBO GROUP LIMITED,SG098F,201503401Z
LEE JING YI,CNMC GOLDMINE HOLDINGS LIMITED,SG923C,201119104K
LEE YONG KWONG,EXPAND CONSTRUCTION PTE. LTD.,SG349J,200005999D
LEE YONG MIANG,EXPAND CONSTRUCTION PTE. LTD.,SG530Z,200005999D
LEE YUEN YONG,NO SIGNBOARD HOLDINGS LTD.,SG734D,201715253N
LEO TING PING,HC SURGICAL SPECIALISTS LIMITED,SG539A,201533429G
LEUNG KAI FOOK MEDICAL CO PTE LTD,LUM CHANG HOLDINGS LIMITED,197803359R,198203949N
LHL GROUP PTE. LTD.,,200414016N,
Lift-Offshore Inc,,BVILIFTOFF,
LIM & TAN SECURITIES PTE LTD,INNOPAC HOLDINGS LIMITED,197301030W,197301788K
LIM BEE HUAT,KOPITIAM INVESTMENT PTE. LTD.,SG067E,199302777N
LIM BOON KER ,KATRINA GROUP LTD.,SG557E,201608344N
LIM CHANG CHYUAN (LIN CHANGQUAN),ADVOCADO PTE. LTD.,SG683Z,201613142Z
LIM CHWEE TECK,BIOLIDICS LIMITED.,SG184A,200913076M
LIM GEOK SENG,KS ENERGY LIMITED,SG385I,198300104G
LIM HEE LIAT,131 MARSILING FOOD HOUSE PTE. LTD.,SG717B,200817769R
LIM HEE LIAT,147 SERANGOON FOOD HOUSE PTE. LTD.,SG717B,200607484W
LIM HEE LIAT,233 YISHUN KOPI POINT PTE. LTD.,SG717B,201605761R
LIM HEE LIAT,280 BISHAN FOOD HOUSE PTE. LTD.,SG717B,200702012K
LIM HEE LIAT,303 JURONG FOOD HOUSE PTE. LTD.,SG717B,200902437R
LIM HEE LIAT,555 AMK FOOD HOUSE PTE. LTD.,SG717B,200611456C
LIM HEE LIAT,881 HOUGANG FOOD HOUSE PTE. LTD.,SG717B,200611948D
LIM HEE LIAT,AMK 108 FOOD HOUSE PTE. LTD.,SG717B,201529681E
LIM HEE LIAT,AMK 339 FOOD HOUSE PTE. LTD.,SG717B,200918871R
LIM HEE LIAT,BN123 FOOD HOUSE PTE. LTD.,SG717B,201219700W
LIM HEE LIAT,BOON LAY 221 FOOD HOUSE PTE. LTD.,SG717B,200817276D
LIM HEE LIAT,BUKIT BATOK 150 FOOD HOUSE PTE. LTD.,SG717B,201223442G
LIM HEE LIAT,CAUSEWAY FOOD HOUSE PTE. LTD.,SG717B,200601864M
LIM HEE LIAT,CHAI CHEE 29 FOOD HOUSE PTE. LTD.,SG717B,200818303M
LIM HEE LIAT,CHAO YANG SEAFOOD,SG717B,53234884B
LIM HEE LIAT,CHODEE FOOD HOLDINGS PTE. LTD.,SG717B,200813391D
LIM HEE LIAT,CHODEE HOLDINGS PTE. LTD.,SG717B,200310038M
LIM HEE LIAT,CHOH DEE FOOD PLACE (FLS) PTE. LTD.,SG717B,201533097R
LIM HEE LIAT,CHOH DEE PLACE (163A) PTE. LTD.,SG717B,200718039H
LIM HEE LIAT,CHOH DEE PLACE (346A) PTE. LTD.,SG717B,200717998H
LIM HEE LIAT,CLEMENTI 325 FOOD HOUSE PTE. LTD.,SG717B,200811324N
LIM HEE LIAT,FOODCLIQUE (CAPEVIEW) PTE. LTD.,SG717B,201539150C
LIM HEE LIAT,FOODCLIQUE PTE. LTD.,SG717B,201021185G
LIM HEE LIAT,FOODWERKZ HUB PTE. LTD.,SG717B,201202960K
LIM HEE LIAT,GOURMET EXPRESS FOOD HOUSE PTE. LTD.,SG717B,200613753E
LIM HEE LIAT,HG327 KIMLY PTE. LTD.,SG717B,201539413G
LIM HEE LIAT,J-MEMBINA FOOD HOUSE PTE. LTD.,SG717B,200708667N
LIM HEE LIAT,JE346 EATING HOUSE PTE. LTD.,SG717B,200208507E
LIM HEE LIAT,JURONG WEST 651 FOOD HOUSE PTE. LTD.,SG717B,200718005G
LIM HEE LIAT,JW 501 FOOD HOUSE PTE. LTD.,SG717B,200608202C
LIM HEE LIAT,KIM BOON TAI EATING HOUSE PTE LTD,SG717B,200107738D
LIM HEE LIAT,KIMLY FOOD HOLDINGS PTE. LTD.,SG717B,200414013C
LIM HEE LIAT,KIMLY FOOD MANUFACTURING PTE. LTD.,SG717B,200813389W
LIM HEE LIAT,KIMLY FOOD PRODUCTS PTE. LTD.,SG717B,201423563E
LIM HEE LIAT,KIMLY LIMITED,SG717B,201613903R
LIM HEE LIAT,KOPI SUCCESS PTE LTD,SG717B,200101964H
LIM HEE LIAT,LHL GROUP PTE. LTD.,SG717B,200414016N
LIM HEE LIAT,LORONG LEW LIAN FOOD HOUSE PTE. LTD.,SG717B,201003523D
LIM HEE LIAT,N57 KIMLY SEAFOOD PTE. LTD.,SG717B,200718078H
LIM HEE LIAT,NEW CHANGI EATING HOUSE PTE. LTD.,SG717B,200204719D
LIM HEE LIAT,ONG KEE SEAFOOD (M211),SG717B,53102313C
LIM HEE LIAT,PARK (E) CRESCENT FOOD HOUSE PTE. LTD.,SG717B,200510615H
LIM HEE LIAT,PARK RESERVOIR FOOD HOUSE PTE. LTD.,SG717B,200503180C
LIM HEE LIAT,PASIR PARK FOOD HOUSE PTE. LTD.,SG717B,200310064G
LIM HEE LIAT,PASIR PARK FOOD HOUSE PTE. LTD.,SG717B,200310064G
LIM HEE LIAT,PP146 FOOD HOUSE PTE. LTD.,SG717B,200718012G
LIM HEE LIAT,S476 KIMLY SEAFOOD PTE. LTD.,SG717B,201539401M
LIM HEE LIAT,SENGKANG 266 FOOD HOUSE PTE. LTD.,SG717B,201107445E
LIM HEE LIAT,TAMPINES WEST FOOD COURT PTE. LTD.,SG717B,201406363H
LIM HEE LIAT,YEE SOON FOOD HOUSE PTE. LTD.,SG717B,200202011C
LIM HEE LIAT,YISHUN 233 FOOD HOUSE PTE. LTD.,SG717B,200718004R
LIM KUOH YANG,LIN XIANG XIONG,SG909C,SG688B
LIM PENG LIANG DAVID LLEWELLYN,CNMC GOLDMINE HOLDINGS LIMITED,SG752G,201119104K
LIM SOK CHENG JULIE,MESSIAH LIMITED,SGUnknown,HK2169389
LIM TECK CHAI DANNY,KIMLY LIMITED,SG327C,201613903R
LIM YEAN LENG,CNMC GOLDMINE HOLDINGS LIMITED,SG813H,201119104K
LIM YONG SIM (LIN RONGSEN),GUGONG PTE. LTD.,SG244J,199308096E
LIN MEE LAN,FOODTALKS CATERER & MANUFACTURER,SG889J,53029450L
LIN XIANG XIONG,INNOVATION (CHINA) LIMITED,SG688B,HK0768071
LIN XIANG XIONG,,SG688B,
LING SIOW MENG,CNMC GOLDMINE HOLDINGS LIMITED,SGUnknown,201119104K
LIU WENYING,CNMC GOLDMINE HOLDINGS LIMITED,SGUnknown,201119104K
LNF PRODUCTIONS,,SG53008611E,
LOH TEE PHENG,LUM CHANG HOLDINGS LIMITED,SGUnknown,198203949N
LORONG LEW LIAN FOOD HOUSE PTE. LTD.,,201003523D,
LOS ANGELES FOOTBALL CLUB,,LAFOOTC,
LOW JENN SHEN,EU HOLIDAYS PTE. LTD.,SG368C,201022285W
LOW MUI CHOO,MEDINEX LIMITED,SG920C,200900689W
LOW SEE CHING (LIU SHIJIN),CLEARBRIDGE HEALTH LIMITED,SG530B,201001436C
LOW WOO SWEE @ LOH SWEE TECK,INNOPAC HOLDINGS LIMITED,SG181B,197301788K
LUCROR PROPERTY PTE. LTD.,,201623848E,
LUM CHANG ASIA PACIFIC PTE. LTD.,LUM CHANG BUILDING CONTRACTORS PTE. LTD.,198601129N,197000827K
LUM CHANG BUILDING CONTRACTORS PTE. LTD.,,197000827K,
LUM CHANG HOLDINGS LIMITED,LUM CHANG ASIA PACIFIC PTE. LTD.,198203949N,198601129N
LUM CHANG HOLDINGS LIMITED,LUM CHANG BUILDING CONTRACTORS PTE. LTD.,198203949N,197000827K
LUM CHANG INVESTMENTS PTE LTD,LUM CHANG HOLDINGS LIMITED,198403391K,198203949N
LUM KOK SENG,BEVERIAN HOLDINGS PTE LTD,SG160D,199306719E
LUM KOK SENG,LUM CHANG HOLDINGS LIMITED,SG160D,198203949N
LUM KWAN SUNG,LUM CHANG HOLDINGS LIMITED,SG157D,198203949N
LUM KWAN SUNG,LUM CHANG INVESTMENTS PTE LTD,SG157D,198403391K
LUXURY YACHT CHARTER SDN. BHD.,,670694-P,
MADALINE CATHERINE TAN KIM WAH ,KATRINA GROUP LTD.,SG244A,201608344N
MALAYSIAN MICROALGAE ENTERPRISE SDN. BHD.,,1158922-W,
MAYBANK KIM ENG SECURITIES PTE. LTD.,CLEARBRIDGE HEALTH LIMITED,197201256N,201001436C
MAYBANK KIM ENG SECURITIES PTE. LTD.,CNMC GOLDMINE HOLDINGS LIMITED,197201256N,201119104K
MAYBANK KIM ENG SECURITIES PTE. LTD.,INNOPAC HOLDINGS LIMITED,197201256N,197301788K
MAYBANK KIM ENG SECURITIES PTE. LTD.,JUMBO GROUP LIMITED,197201256N,201503401Z
MAYBANK KIM ENG SECURITIES PTE. LTD.,KS ENERGY LIMITED,197201256N,198300104G
MAYBANK KIM ENG SECURITIES PTE. LTD.,NO SIGNBOARD HOLDINGS LTD.,197201256N,201715253N
MEDINEX LIMITED,,200900689W,
MEGAH SERUMPUN JAYA SDN. BHD.,,158667-K,
MEGAN MIDAS SDN. BHD.,,769093-A,
MESSIAH LIMITED,,HK2169389,
MIDAS NSSG INTERNATIONAL PTE. LTD.,,201528233H,
MIG NETWORK INTERNATIONAL PTE. LTD.,,201506032Z,
"MITSUBISHI UFJ LIFE SCIENCE I, LIMITED PARTNERSHIP",BIOLIDICS LIMITED.,MITUFJLIFESCII,200913076M
MOHAMMAD REZA SADEGHI,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SGunknown,200411055E
MOL.COM BERHAD,,90314-P,
MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,INNOPAC HOLDINGS LIMITED,200008434H,197301788K
N57 KIMLY SEAFOOD PTE. LTD.,,200718078H,
NAGA CAPITAL PARTNERS (CAYMAN) LIMITED,BIOLIDICS LIMITED.,CY646800,200913076M
NASIONCOM HOLDINGS BHD.,,613306-W,
NEO KOK CHING,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SG835B,200411055E
NEW CHANGI EATING HOUSE PTE. LTD.,,200204719D,
NEW DRAGON TRADING,,SG52987323X,
NG ENG TIONG,CNMC GOLDMINE HOLDINGS LIMITED,SG534C,201119104K
NG HAN KEOW,KIMLY LIMITED,SG507A,201613903R
NG HWEE KOON,KS ENERGY LIMITED,SG977J,198300104G
NG KAH KENG,KIMLY LIMITED,SG933E,201613903R
NG KENG SING,MIDAS NSSG INTERNATIONAL PTE. LTD.,SG389H,201528233H
NG LAY BENG,KIMLY LIMITED,SG848Z,201613903R
NG THIAN HOO,KIMLY LIMITED,SG144Z,201613903R
NO SIGNBOARD HOLDINGS LTD.,DANISH BREWERIES PTE. LTD.,201715253N,201416559H
NO SIGNBOARD HOLDINGS LTD.,DRAFF BEER PTE. LTD.,201715253N,201714094K
NO SIGNBOARD HOLDINGS LTD.,DRAFT BREWERIES DENMARK APS,201715253N,DK36065192
NO SIGNBOARD HOLDINGS LTD.,SINGAPORE CHILLI CRAB PTE. LTD.,201715253N,201724809E
NO SIGNBOARD HOLDINGS LTD.,TAO BREWERY PTE. LTD.,201715253N,201708006E
NORSILAH BINTE BAHTIAR,BUSY BEES ASIA PTE. LTD.,SG818C,201432726W
NOSTALGIA KIARA SDN. BHD.,,379928-K,
NSH HOLDINGS PTE LTD,JUMBO GROUP LIMITED,201012049D,201503401Z
NTUC FAIRPRICE CO-OPERATIVE LTD ,KEPPEL DC REIT MANAGEMENT PTE. LTD.,NTUCCOO,199508930C
NUS TECHNOLOGY HOLDINGS PTE LTD,BIOLIDICS LIMITED.,199500236N,200913076M
OASIS MARINE INC,,BVIOASISM,
OCBC NOMINEES SINGAPORE PRIVATE LIMITED ,KEPPEL DC REIT MANAGEMENT PTE. LTD.,197400645Z,199508930C
OCBC NOMINEES SINGAPORE PRIVATE LIMITED ,KS ENERGY LIMITED,197400645Z,198300104G
OCBC NOMINEES SINGAPORE PRIVATE LIMITED ,LUM CHANG HOLDINGS LIMITED,197400645Z,198203949N
OCBC SECURITIES PRIVATE LIMITED ,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,,200411055E
OCBC SECURITIES PRIVATE LIMITED ,CNMC GOLDMINE HOLDINGS LIMITED,196600262R,201119104K
OCBC SECURITIES PRIVATE LIMITED ,INNOPAC HOLDINGS LIMITED,196600262R,197301788K
OCBC SECURITIES PRIVATE LIMITED ,JUMBO GROUP LIMITED,196600262R,201503401Z
OCBC SECURITIES PRIVATE LIMITED ,KEPPEL DC REIT MANAGEMENT PTE. LTD.,196600262R,199508930C
OCBC SECURITIES PRIVATE LIMITED ,LUM CHANG HOLDINGS LIMITED,196600262R,198203949N
OCBC SECURITIES PRIVATE LIMITED ,NO SIGNBOARD HOLDINGS LTD.,196600262R,201715253N
OCBC SECURITIES PRIVATE LTD ,KATRINA GROUP LTD.,196600262R,201608344N
OMNISTREAM PTE. LTD.,,201720105N,
ONG CHEW HONG,KOPITIAM INVESTMENT PTE. LTD.,SG499A,199302777N
ONG ENG SING,KIMLY LIMITED,SG877B,201613903R
ONG HO YONG ADAM,INNOPAC HOLDINGS LIMITED,SG583D,197301788K
"ONG HSIEN CHIH, JAMES",BIOLIDICS LIMITED.,SG727I,200913076M
ONG KEE SEAFOOD (M211),,53102313C,
ORCHID 1 INVESTMENTS PTE LTD,JUMBO GROUP LIMITED,201307689R,201503401Z
OSCAR CAPITAL PTE. LTD. ,CLEARBRIDGE HEALTH LIMITED,201223592E,201001436C
OW SOON POOH,KIMLY LIMITED,SG370F,201613903R
OW YONG HENG LEONG,LUM CHANG HOLDINGS LIMITED,SGUnknown,198203949N
PACIFIC ONE ENERGY LIMITED,KS ENERGY LIMITED,BVIPACIFICO,198300104G
PALM BEACH SEAFOOD RESTAURANT PTE LTD ,JUMBO GROUP LIMITED,198500910Z,201503401Z
PANG KA LEONG,FOODTALKS CATERER & MANUFACTURER,SG799C,53029450L
PARAGON ASSETS PTE. LTD.,,201417735E,
PARK (E) CRESCENT FOOD HOUSE PTE. LTD.,,200510615H,
PARK RESERVOIR FOOD HOUSE PTE. LTD.,,200503180C,
PASIR PARK FOOD HOUSE PTE. LTD.,,200310064G,
PEH KIM LEONG SUNNY (BAI JINLONG),KIMLY LIMITED,SG130B,201613903R
PEH OON KEE,KIMLY LIMITED,SG470E,201613903R
PG COMMUNICATIONS PTE. LTD.,PG COMMUNICATIONS SDN. BHD.,197500908H,709411-V
PG COMMUNICATIONS SDN. BHD.,,709411-V,
PHILLIP SECURITIES PTE LTD ,CNMC GOLDMINE HOLDINGS LIMITED,197501035Z,201119104K
PHILLIP SECURITIES PTE LTD ,INNOPAC HOLDINGS LIMITED,197501035Z,197301788K
PHILLIP SECURITIES PTE LTD ,KATRINA GROUP LTD.,197501035Z,201608344N
PHILLIP SECURITIES PTE LTD ,LUM CHANG HOLDINGS LIMITED,197501035Z,198203949N
PHILLIP SECURITIES PTE LTD ,NO SIGNBOARD HOLDINGS LTD.,197501035Z,201715253N
PHILLIP SECURITIES PTE LTD  ,JUMBO GROUP LIMITED,197501035Z,201503401Z
PHILLIP SECURITIES PTE LTD  ,KEPPEL DC REIT MANAGEMENT PTE. LTD.,197501035Z,199508930C
PHILLIP SECURITIES PTE LTD  ,KS ENERGY LIMITED,197501035Z,198300104G
PHUA MENG TONG,INNOPAC HOLDINGS LIMITED,SGunknown,197301788K
PINK FLUX LLP,,SGT09LL1926C,
PLANVEX GROUP SDN. BHD.,,973733-A,
POWERACE COMMUNICATIONS NETWORK SDN. BHD.,,201025-M,
PP146 FOOD HOUSE PTE. LTD.,,200718012G,
PPACIFIC INTERNATIONAL OFFSHORE INC.,,BVIPACIFICI,
PRIME JAYA ENTERPRISE SDN BHD,,37922-P,
PT ATLANTIC OILFIELD SERVICES,,INDPTATLAN,
PT GLOBALTECH SYSTEMS ENGINEERING,,INDPTGLOBAL,
PT PETRO PAPUA ENERGI,,INDPTPETRO,
QED INNOVATE PTE. LTD.,CLEARBRIDGE HEALTH LIMITED,201611816N,201001436C
QIM VENTURES LIMITED,,HE222215,
QQ PET BOARDING,,53214995E,
QUAFFS PTE. LTD.,,200700213W,
RAFFLES NOMINEES (PTE) LIMITED,CNMC GOLDMINE HOLDINGS LIMITED,193700032R,201119104K
RAFFLES NOMINEES (PTE) LIMITED,INNOPAC HOLDINGS LIMITED,193700032R,197301788K
RAFFLES NOMINEES (PTE) LIMITED,JUMBO GROUP LIMITED,193700032R,201503401Z
RAFFLES NOMINEES (PTE) LIMITED,KATRINA GROUP LTD.,193700032R,201608344N
RAFFLES NOMINEES (PTE) LIMITED,KEPPEL DC REIT MANAGEMENT PTE. LTD.,193700032R,199508930C
RAFFLES NOMINEES (PTE) LIMITED,KIMLY LIMITED,193700032R,201613903R
RAFFLES NOMINEES (PTE) LIMITED,KS ENERGY LIMITED,193700032R,198300104G
RAFFLES NOMINEES (PTE) LIMITED,LUM CHANG HOLDINGS LIMITED,193700032R,198203949N
RAFFLES NOMINEES (PTE) LIMITED,NO SIGNBOARD HOLDINGS LTD.,193700032R,201715253N
REEVES TNG HUNG KWEE (REEVES TANG HANGUI),KIMLY LIMITED,SG177E,201613903R
RENUNG NUSANTARA (M) SDN. BHD.,,643570-K,
RHB SECURITIES SINGAPORE PTE. LTD.,INNOPAC HOLDINGS LIMITED,198701140E,197301788K
ROY LEE YONG LYE (ROY LI RONGLAI),EXPAND CONSTRUCTION PTE. LTD.,SG366C,200005999D
RUBBER SOLUTION ORGANISATION,,SG53191084M,
S&E CUMFORD (THAILAND) LTD,,105495000781,
S476 KIMLY SEAFOOD PTE. LTD.,,201539401M,
SALLY LIM LAY TIN,KOPITIAM INVESTMENT PTE. LTD.,SG835G,199302777N
SAMUEL PAUL OLIVER CAREW-JONES,KS ENERGY LIMITED,SG477F,198300104G
SARAJEVO FOOTBALL CLUB,,SARAFC,
SASIKUMARAN PILLAI S/O MANMATHAN PILLAI ,KATRINA GROUP LTD.,SG225D,201608344N
SCCI CAPITAL PTE. LTD.,,201833318Z,
SCCI HOLDINGS PTE. LTD.,INTERNATIONAL BUSINESS SCHOOL,201833314R,53379818C
SCCI HOLDINGS PTE. LTD.,JEWISH BUSINESS SCHOOL,201833314R,53378751C
SCCI HOLDINGS PTE. LTD.,SCCI CAPITAL PTE. LTD.,201833314R,201833318Z
SCCI HOLDINGS PTE. LTD.,SG BUSINESS NETWORK,201833314R,53377782L
